train_no,date,station_code,station_name,delay
12314,2025-10-03,CNB,KANPUR CENTRAL,18.0
12314,2025-10-03,DDU,PT DEEN DAYAL UPADHYAY JN,1.0
12314,2025-10-03,GAYA,GAYA JN,56.0
12314,2025-10-03,DHN,DHANBAD JN,45.0
12314,2025-10-03,ASN,ASANSOL JN,55.0
12314,2025-10-03,DGR,DURGAPUR,59.0
12314,2025-10-03,SDAH,SEALDAH,27.0
12314,2025-10-04,NDLS,NEW DELHI,1.0
12314,2025-10-04,CNB,KANPUR CENTRAL,16.0
12314,2025-10-04,DDU,PT DEEN DAYAL UPADHYAY JN,1.0
12314,2025-10-04,GAYA,GAYA JN,14.0
12314,2025-10-04,DHN,DHANBAD JN,1.0
12314,2025-10-04,ASN,ASANSOL JN,11.0
12314,2025-10-04,DGR,DURGAPUR,15.0
12314,2025-10-04,SDAH,SEALDAH,-16.0
12314,2025-10-05,NDLS,NEW DELHI,1.0
12314,2025-10-05,CNB,KANPUR CENTRAL,22.0
12314,2025-10-05,DDU,PT DEEN DAYAL UPADHYAY JN,0.0
12314,2025-10-05,GAYA,GAYA JN,11.0
12314,2025-10-05,DHN,DHANBAD JN,1.0
12314,2025-10-05,ASN,ASANSOL JN,15.0
12314,2025-10-05,DGR,DURGAPUR,21.0
12314,2025-10-05,SDAH,SEALDAH,-10.0
12314,2025-10-06,NDLS,NEW DELHI,0.0
12314,2025-10-06,CNB,KANPUR CENTRAL,31.0
12314,2025-10-06,DDU,PT DEEN DAYAL UPADHYAY JN,7.0
12314,2025-10-06,GAYA,GAYA JN,13.0
12314,2025-10-06,DHN,DHANBAD JN,8.0
12314,2025-10-06,ASN,ASANSOL JN,23.0
12314,2025-10-06,DGR,DURGAPUR,27.0
12314,2025-10-06,SDAH,SEALDAH,6.0
12314,2025-10-07,NDLS,NEW DELHI,0.0
12314,2025-10-07,CNB,KANPUR CENTRAL,7.0
12314,2025-10-07,DDU,PT DEEN DAYAL UPADHYAY JN,1.0
12314,2025-10-07,GAYA,GAYA JN,10.0
12314,2025-10-07,DHN,DHANBAD JN,0.0
12314,2025-10-07,ASN,ASANSOL JN,7.0
12314,2025-10-07,DGR,DURGAPUR,12.0
12314,2025-10-07,SDAH,SEALDAH,-8.0
12314,2025-10-08,NDLS,NEW DELHI,0.0
12314,2025-10-08,CNB,KANPUR CENTRAL,8.0
12314,2025-10-08,DDU,PT DEEN DAYAL UPADHYAY JN,0.0
12314,2025-10-08,GAYA,GAYA JN,13.0
12314,2025-10-08,DHN,DHANBAD JN,0.0
12314,2025-10-08,ASN,ASANSOL JN,6.0
12314,2025-10-08,DGR,DURGAPUR,10.0
12314,2025-10-08,SDAH,SEALDAH,-1.0
12314,2025-10-09,NDLS,NEW DELHI,0.0
12314,2025-10-09,CNB,KANPUR CENTRAL,23.0
12314,2025-10-09,DDU,PT DEEN DAYAL UPADHYAY JN,12.0
12314,2025-10-09,GAYA,GAYA JN,17.0
12314,2025-10-09,DHN,DHANBAD JN,0.0
12314,2025-10-09,ASN,ASANSOL JN,12.0
12314,2025-10-09,DGR,DURGAPUR,17.0
12314,2025-10-09,SDAH,SEALDAH,13.0
12314,2025-10-10,NDLS,NEW DELHI,0.0
12314,2025-10-10,CNB,KANPUR CENTRAL,27.0
12314,2025-10-10,DDU,PT DEEN DAYAL UPADHYAY JN,9.0
12314,2025-10-10,GAYA,GAYA JN,17.0
12314,2025-10-10,DHN,DHANBAD JN,1.0
12314,2025-10-10,ASN,ASANSOL JN,14.0
12314,2025-10-10,DGR,DURGAPUR,21.0
12314,2025-10-10,SDAH,SEALDAH,13.0
12314,2025-10-11,NDLS,NEW DELHI,1.0
12314,2025-10-11,CNB,KANPUR CENTRAL,18.0
12314,2025-10-11,DDU,PT DEEN DAYAL UPADHYAY JN,0.0
12314,2025-10-11,GAYA,GAYA JN,6.0
12314,2025-10-11,DHN,DHANBAD JN,1.0
12314,2025-10-11,ASN,ASANSOL JN,10.0
12314,2025-10-11,DGR,DURGAPUR,14.0
12314,2025-10-11,SDAH,SEALDAH,-2.0
12314,2025-10-12,NDLS,NEW DELHI,0.0
12314,2025-10-12,CNB,KANPUR CENTRAL,25.0
12314,2025-10-12,DDU,PT DEEN DAYAL UPADHYAY JN,10.0
12314,2025-10-12,GAYA,GAYA JN,20.0
12314,2025-10-12,DHN,DHANBAD JN,9.0
12314,2025-10-12,ASN,ASANSOL JN,16.0
12314,2025-10-12,DGR,DURGAPUR,20.0
12314,2025-10-12,SDAH,SEALDAH,-2.0
12314,2025-10-13,NDLS,NEW DELHI,1.0
12314,2025-10-13,CNB,KANPUR CENTRAL,20.0
12314,2025-10-13,DDU,PT DEEN DAYAL UPADHYAY JN,5.0
12314,2025-10-13,GAYA,GAYA JN,22.0
12314,2025-10-13,DHN,DHANBAD JN,3.0
12314,2025-10-13,ASN,ASANSOL JN,10.0
12314,2025-10-13,DGR,DURGAPUR,17.0
12314,2025-10-13,SDAH,SEALDAH,-6.0
12314,2025-10-14,NDLS,NEW DELHI,0.0
12314,2025-10-14,CNB,KANPUR CENTRAL,18.0
12314,2025-10-14,DDU,PT DEEN DAYAL UPADHYAY JN,1.0
12314,2025-10-14,GAYA,GAYA JN,14.0
12314,2025-10-14,DHN,DHANBAD JN,3.0
12314,2025-10-14,ASN,ASANSOL JN,14.0
12314,2025-10-14,DGR,DURGAPUR,19.0
12314,2025-10-14,SDAH,SEALDAH,-1.0
12314,2025-10-15,NDLS,NEW DELHI,88.0
12314,2025-10-15,CNB,KANPUR CENTRAL,172.0
12314,2025-10-15,DDU,PT DEEN DAYAL UPADHYAY JN,189.0
12314,2025-10-15,GAYA,GAYA JN,209.0
12314,2025-10-15,DHN,DHANBAD JN,197.0
12314,2025-10-15,ASN,ASANSOL JN,212.0
12314,2025-10-15,DGR,DURGAPUR,216.0
12314,2025-10-15,SDAH,SEALDAH,186.0
12314,2025-10-16,NDLS,NEW DELHI,1.0
12314,2025-10-16,CNB,KANPUR CENTRAL,21.0
12314,2025-10-16,DDU,PT DEEN DAYAL UPADHYAY JN,0.0
12314,2025-10-16,GAYA,GAYA JN,25.0
12314,2025-10-16,DHN,DHANBAD JN,10.0
12314,2025-10-16,ASN,ASANSOL JN,19.0
12314,2025-10-16,DGR,DURGAPUR,24.0
12314,2025-10-16,SDAH,SEALDAH,4.0
12314,2025-10-17,NDLS,NEW DELHI,1.0
12314,2025-10-17,CNB,KANPUR CENTRAL,25.0
12314,2025-10-17,DDU,PT DEEN DAYAL UPADHYAY JN,68.0
12314,2025-10-17,GAYA,GAYA JN,103.0
12314,2025-10-17,DHN,DHANBAD JN,86.0
12314,2025-10-17,ASN,ASANSOL JN,102.0
12314,2025-10-17,DGR,DURGAPUR,103.0
12314,2025-10-17,SDAH,SEALDAH,68.0
12314,2025-10-18,NDLS,NEW DELHI,1.0
12314,2025-10-18,CNB,KANPUR CENTRAL,16.0
12314,2025-10-18,DDU,PT DEEN DAYAL UPADHYAY JN,2.0
